component,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,total
Biometric Registration Report,0,0,0,7,7,3,2,1,1,4,4,2,1,32
Climate & Environmental Vulnerability Reports,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Compendium Reports,0,0,0,0,0,0,0,0,0,0,1,1,0,2
Early Warning & Early Response Dashboard,0,0,0,0,0,0,0,0,11,14,34,6,10,75
Emergency Tracking Tool (ETT),0,1,0,46,51,54,56,52,54,53,75,109,11,562
Flow Monitoring (migrants) – extra category,0,0,0,6,12,12,12,4,7,1,1,0,0,55
Incident / Flash Report,0,0,0,11,3,17,51,106,66,51,52,83,31,471
Intention Surveys (general / regional),0,0,0,0,0,0,0,0,0,0,2,0,0,2
Joint Flood Reports,0,0,0,0,0,0,0,0,0,0,31,9,0,40
Mobility Tracking – IDP & Returnee Atlas,1,23,32,62,39,27,27,57,23,2,5,4,3,305
Mobility Tracking – Needs Monitoring,0,2,6,1,0,1,2,3,2,2,3,2,2,26
Other / Unclassified,0,0,0,1,0,5,4,10,3,0,1,0,0,24
Point of Entry (POE) Reports,0,0,0,0,0,0,39,67,33,0,0,0,0,139
Post-Flood Situation Report (Ad-Hoc),0,0,0,0,0,0,0,0,10,1,17,0,0,28
Return Intention & Camp Closure Reports,0,0,0,0,0,0,0,10,2,1,0,0,0,13
Socio Economic Survey,0,0,0,0,0,0,0,0,1,0,0,4,0,5
Socio-Economic Survey & Facility Mapping,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Solutions Mobility Index,0,0,0,0,0,0,0,0,0,0,0,1,4,5
Stability Index,0,0,0,0,0,0,1,1,1,1,0,0,0,4
State-wide Intention Surveys,0,0,0,0,0,0,0,0,0,0,20,5,0,25
Transhumance Flow Monitoring Report,0,0,0,0,0,0,0,0,0,2,12,2,10,26
