id,year,date,component,regions,states,title,url,pdf,matched_on
1,2026,2026-09-24,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 27 — Katsina and Zamfara States (August 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-27-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Transhumance%20Tracking%20Tool%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2027%20%28August%202026%29%20-%20Katsina%20and%20Zamfara%20states.pdf,title:early warning dashboard
2,2026,2026-09-24,Mobility Tracking – IDP & Returnee Atlas,North East; North Central; North West,,NIGERIA — MULTI-SECTORAL LOCATION ASSESSMENT: ENERGY ACCESS,https://dtm.iom.int/reports/nigeria-multi-sectoral-location-assessment-energy-access,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/DTM%20MSLA%20R7%20and%20R38%20-%20SUMMARY%20REPORT%20ON%20ENERGY%20ACCESS%20-%20Nigeria%2011_2021.pdf,title:location assessment
3,2026,2026-09-15,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 299 (24 August 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-299-24-august-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20299.pdf,title:flash report
4,2026,2026-09-15,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 298 (23 August 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-298-23-august-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20298.pdf,title:flash report
5,2026,2026-09-11,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 297 (17 August 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-297-17-august-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20297.pdf,title:flash report
6,2026,2026-09-11,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 296 (14 August 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-296-14-august-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20296.pdf,title:flash report
7,2026,2026-09-10,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 22 — Katsina and Zamfara States (July 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-22-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring%20Report%20No%2022_July%202026.pdf,title:transhumance
8,2026,2026-09-07,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 26 — Katsina and Zamfara States (July 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-26-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Transhumance%20Tracking%20Tool%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2026%20%28July%202026%29%20-%20Katsina%20and%20Zamfara%20states.pdf,title:early warning dashboard
9,2026,2026-08-14,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 295 (7–9 August 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-295-7-9-august-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20295%20v2.pdf,title:flash report
10,2026,2026-08-06,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 294 (30 July 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-294-30-july-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20294%20v3.pdf,title:flash report
